Order,Variable,Description,Category,Variable Type,Consumption Type,Root Formula,Type,Size,Part
1957,Q1000220C1,Shopped in store [Pst Yr] - Home Decor/Improvement Stores - Department stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1958,Q1000221C1,Shopped in store [Pst Yr] - Home Decor/Improvement Stores - Independent hardware stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1959,Q1100210C1,Shopped in store [Pst Yr] - Jewellery Stores - Michael Hill Jeweller,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1960,Q1100211C1,Shopped in store [Pst Yr] - Jewellery Stores - Peoples,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1961,Q1100212C1,Shopped in store [Pst Yr] - Jewellery Stores - Big box/warehouse stores (e.g. Costco),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1962,Q1100213C1,Shopped in store [Pst Yr] - Jewellery Stores - Department stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1963,Q1300210C1,Shopped in store [Pst Yr] - Optical Stores - FYidoctors/Visique,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1964,Q1300211C1,Shopped in store [Pst Yr] - Optical Stores - Hakim Optical,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1965,Q1300212C1,Shopped in store [Pst Yr] - Optical Stores - IRIS,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1966,Q1300213C1,Shopped in store [Pst Yr] - Optical Stores - LensCrafters,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1967,Q1300214C1,Shopped in store [Pst Yr] - Optical Stores - Pearle Vision (!),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1968,Q1300215C1,Shopped in store [Pst Yr] - Optical Stores - Sunglass Hut (!),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1969,Q1300216C1,Shopped in store [Pst Yr] - Optical Stores - Big box/warehouse stores (e.g. Costco),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1970,Q1300217C1,Shopped in store [Pst Yr] - Optical Stores - Department stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1971,Q1400210C1,Shopped in store [Pst Yr] - Electronics Stores - Apple,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1972,Q1400211C1,Shopped in store [Pst Yr] - Electronics Stores - Best Buy,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1973,Q1400212C1,Shopped in store [Pst Yr] - Electronics Stores - Staples,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1974,Q1400213C1,Shopped in store [Pst Yr] - Electronics Stores - The Source,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1975,Q1400214C1,Shopped in store [Pst Yr] - Electronics Stores - Big box/warehouse stores (e.g. Costco),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1976,Q1400215C1,Shopped in store [Pst Yr] - Electronics Stores - Department stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1977,Q1400216C1,Shopped in store [Pst Yr] - Electronics Stores - Furniture stores (e.g. Leon's/The Brick),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1978,Q1500210C1,Shopped in store [Pst Yr] - Office Supply Stores - Staples,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1979,Q1500211C1,Shopped in store [Pst Yr] - Office Supply Stores - Big box/warehouse stores (e.g. Costco),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1980,Q1500212C1,Shopped in store [Pst Yr] - Office Supply Stores - Department stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1981,Q1600210C1,Shopped in store [Pst Yr] - Shoe Stores - Aldo,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1982,Q1600211C1,Shopped in store [Pst Yr] - Shoe Stores - Browns/B2,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1983,Q1600212C1,Shopped in store [Pst Yr] - Shoe Stores - Call It Spring/Boutique Spring,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1984,Q1600213C1,Shopped in store [Pst Yr] - Shoe Stores - Globo,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1985,Q1600214C1,Shopped in store [Pst Yr] - Shoe Stores - Little Burgundy (!),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1986,Q1600215C1,Shopped in store [Pst Yr] - Shoe Stores - Naturalizer,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1987,Q1600216C1,Shopped in store [Pst Yr] - Shoe Stores - SoftMoc,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1988,Q1600217C1,Shopped in store [Pst Yr] - Shoe Stores - The Shoe Company,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1989,Q1600218C1,Shopped in store [Pst Yr] - Shoe Stores - Department stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1990,Q1600219C1,Shopped in store [Pst Yr] - Shoe Stores - Sports stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1991,Q1700210C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Atmosphere,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1992,Q1700211C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Foot Locker,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1993,Q1700212C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Golf Town,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1994,Q1700213C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Lululemon Athletica,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1995,Q1700214C1,Shopped in store [Pst Yr] - Sporting Goods Stores - MEC,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1996,Q1700215C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Play it Again Sports,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1997,Q1700216C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Sport Chek,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1998,Q1700217C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Sporting Life,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
1999,Q1700218C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Sports Experts,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2000,Q1700219C1,Shopped in store [Pst Yr] - Sporting Goods Stores - The Running Room,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2001,Q1700220C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Big box/warehouse stores (e.g. Costco),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2002,Q1700221C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Department stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2003,Q1700222C1,Shopped in store [Pst Yr] - Sporting Goods Stores - Other sporting goods & athletic wear stores,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2004,Q1800210C1,Shopped in store [Pst Yr] - Toy/Game/Learning Stores - EB Games,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2005,Q1800211C1,Shopped in store [Pst Yr] - Toy/Game/Learning Stores - Mastermind,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2006,Q1800212C1,Shopped in store [Pst Yr] - Toy/Game/Learning Stores - Toys 'R Us/Babies 'R Us,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2007,Q1800213C1,Shopped in store [Pst Yr] - Toy/Game/Learning Stores - Big box/warehouse stores (e.g. Costco),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2008,Q1800214C1,Shopped in store [Pst Yr] - Toy/Game/Learning Stores - Book stores (e.g. Chapters/Indigo),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2009,Q1800215C1,Shopped in store [Pst Yr] - Toy/Game/Learning Stores - Department stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2010,Q1900210C1,Shopped in store [Pst Yr] - Pet Supply Stores - Global Pet Foods,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2011,Q1900211C1,Shopped in store [Pst Yr] - Pet Supply Stores - Pet Valu,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2012,Q1900212C1,Shopped in store [Pst Yr] - Pet Supply Stores - PetSmart,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2013,Q1900213C1,Shopped in store [Pst Yr] - Pet Supply Stores - Big box/warehouse stores (e.g. Costco),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2014,Q1900214C1,Shopped in store [Pst Yr] - Pet Supply Stores - Department stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2015,Q1900215C1,Shopped in store [Pst Yr] - Pet Supply Stores - Grocery stores (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2016,Q1900216C1,Shopped in store [Pst Yr] - Pet Supply Stores - Veterinarian office (any),Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2017,Q1900217C1,Shopped in store [Pst Yr] - Pet Supply Stores - Other pet/pet supply stores,Retail - Purchasing,Incidence,,[NBAS12HP],Double,8,7
2018,Q2000101K1,Store Types - Shopped online [Pst Mth] - Bulk food stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2019,Q2000102K1,Store Types - Shopped online [Pst Mth] - Camera stores and photo/digital finishing,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2020,Q2000119K1,Store Types - Shopped online [Pst Mth] - Candy/chocolate stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2021,Q2000120K1,Store Types - Shopped online [Pst Mth] - Cannabis stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2022,Q2000103K1,Store Types - Shopped online [Pst Mth] - Carpet/floor covering stores (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2023,Q2000104K1,Store Types - Shopped online [Pst Mth] - Cosmetics/skin care stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2024,Q2000105K1,Store Types - Shopped online [Pst Mth] - Craft supply stores (e.g. Michaels),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2025,Q2000106K1,Store Types - Shopped online [Pst Mth] - Dollar stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2026,Q2000108K1,Store Types - Shopped online [Pst Mth] - Fashion accessories stores (e.g. Ardene),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2027,Q2000109K1,Store Types - Shopped online [Pst Mth] - Garden stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2028,Q2000110K1,Store Types - Shopped online [Pst Mth] - Home health care stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2029,Q2000111K1,Store Types - Shopped online [Pst Mth] - Kitchen stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2030,Q2000112K1,Store Types - Shopped online [Pst Mth] - Music stores (instruments/sheet music),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2031,Q2000113K1,Store Types - Shopped online [Pst Mth] - Natural/health food stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2032,Q2000114K1,Store Types - Shopped online [Pst Mth] - Online classified websites (e.g. Kijiji),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2033,Q2000115K1,Store Types - Shopped online [Pst Mth] - Online music/movie download stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2034,Q2000118K1,Store Types - Shopped online [Pst Mth] - Other stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2035,Q0100120C1,Shopped online [Pst Mth] - Grocery Stores - IGA/Foodland (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2036,Q0100121C1,Shopped online [Pst Mth] - Grocery Stores - Loblaws (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2037,Q0100122C1,Shopped online [Pst Mth] - Grocery Stores - M&M Food Market (^),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2038,Q0100123C1,Shopped online [Pst Mth] - Grocery Stores - Metro (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2039,Q0100124C1,Shopped online [Pst Mth] - Grocery Stores - Real Canadian/Atlantic Superstore,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2040,Q0100125C1,Shopped online [Pst Mth] - Grocery Stores - Safeway (^),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2041,Q0100126C1,Shopped online [Pst Mth] - Grocery Stores - Save-On-Foods (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2042,Q0100127C1,Shopped online [Pst Mth] - Grocery Stores - Sobeys (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2043,Q0100128C1,Shopped online [Pst Mth] - Grocery Stores - Big box/warehouse stores (e.g. Costco),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2044,Q0100129C1,Shopped online [Pst Mth] - Grocery Stores - Walmart/Walmart Supercentres,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2045,Q0100130C1,Shopped online [Pst Mth] - Grocery Stores - Drug stores (any),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2046,Q0300120C1,Shopped online [Pst Mth] - Drug Stores - Jean Coutu (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2047,Q0300121C1,Shopped online [Pst Mth] - Drug Stores - London Drugs (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2048,Q0300122C1,Shopped online [Pst Mth] - Drug Stores - Shoppers Drug Mart/Pharmaprix,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2049,Q0300123C1,Shopped online [Pst Mth] - Drug Stores - Big box/warehouse stores (e.g. Costco),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2050,Q0300124C1,Shopped online [Pst Mth] - Drug Stores - Grocery stores (any),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2051,Q0400120C1,Shopped online [Pst Yr] - Department/Warehouse Stores - Amazon.com/Amazon.ca,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2052,Q0400121C1,Shopped online [Pst Yr] - Department/Warehouse Stores - Canadian Tire,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2053,Q0400122C1,Shopped online [Pst Yr] - Department/Warehouse Stores - Costco,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2054,Q0400123C1,Shopped online [Pst Yr] - Department/Warehouse Stores - Giant Tiger (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2055,Q0400124C1,Shopped online [Pst Yr] - Department/Warehouse Stores - Hudson's Bay,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2056,Q0400125C1,Shopped online [Pst Yr] - Department/Warehouse Stores - Walmart/Walmart Supercentres,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2057,Q0400126C1,Shopped online [Pst Yr] - Department/Warehouse Stores - Well.ca,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2058,Q0400127C1,Shopped online [Pst Yr] - Department/Warehouse Stores - Other department stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2059,Q0500150C1,Shopped online [Pst Yr] - Clothing Stores - Aritzia,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2060,Q0500151C1,Shopped online [Pst Yr] - Clothing Stores - Banana Republic,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2061,Q0500152C1,Shopped online [Pst Yr] - Clothing Stores - Children's clothing stores (any) (e.g. GapKids),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2062,Q0500153C1,Shopped online [Pst Yr] - Clothing Stores - Eddie Bauer,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2063,Q0500154C1,Shopped online [Pst Yr] - Clothing Stores - Gap,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2064,Q0500155C1,Shopped online [Pst Yr] - Clothing Stores - H&M,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2065,Q0500156C1,Shopped online [Pst Yr] - Clothing Stores - Joe Fresh,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2066,Q0500157C1,Shopped online [Pst Yr] - Clothing Stores - Laura (any) (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2067,Q0500158C1,Shopped online [Pst Yr] - Clothing Stores - Marks Work Wearhouse,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2068,Q0500159C1,Shopped online [Pst Yr] - Clothing Stores - Old Navy,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2069,Q0500160C1,Shopped online [Pst Yr] - Clothing Stores - Penningtons,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2070,Q0500161C1,Shopped online [Pst Yr] - Clothing Stores - Reitmans,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2071,Q0500162C1,Shopped online [Pst Yr] - Clothing Stores - Roots (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2072,Q0500163C1,Shopped online [Pst Yr] - Clothing Stores - Simons,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2073,Q0500164C1,Shopped online [Pst Yr] - Clothing Stores - Winners (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2074,Q0500165C1,Shopped online [Pst Yr] - Clothing Stores - Zara (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2075,Q0500166C1,Shopped online [Pst Yr] - Clothing Stores - Jean stores (any) (e.g. Levi Strauss and Company) (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2076,Q0500167C1,Shopped online [Pst Yr] - Clothing Stores - Specialty apparel - Lingerie,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2077,Q0500168C1,Shopped online [Pst Yr] - Clothing Stores - Department stores (any),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,7
2078,Q0500169C1,Shopped online [Pst Yr] - Clothing Stores - Second-hand stores (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2079,Q0500170C1,Shopped online [Pst Yr] - Clothing Stores - Other clothing stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2080,Q0600120C1,Shopped online [Pst Yr] - Book Stores - Amazon.com/Amazon.ca,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2081,Q0600121C1,Shopped online [Pst Yr] - Book Stores - Chapters/Indigo,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2082,Q0600122C1,Shopped online [Pst Yr] - Book Stores - Big box/warehouse stores (e.g. Costco),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2083,Q0600123C1,Shopped online [Pst Yr] - Book Stores - Department/grocery/drug stores,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2084,Q0600124C1,Shopped online [Pst Yr] - Book Stores - eBook stores (any),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2085,Q0800120C1,Shopped online [Pst Yr] - Furniture/Appliance Stores - Ikea,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2086,Q0800121C1,Shopped online [Pst Yr] - Furniture/Appliance Stores - Leon's (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2087,Q0800122C1,Shopped online [Pst Yr] - Furniture/Appliance Stores - Structube (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2088,Q0800123C1,Shopped online [Pst Yr] - Furniture/Appliance Stores - The Brick/The Brick Outlet (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2089,Q0800124C1,Shopped online [Pst Yr] - Furniture/Appliance Stores - Wayfair.ca,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2090,Q0800125C1,Shopped online [Pst Yr] - Furniture/Appliance Stores - Department stores (any),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2091,Q0800126C1,Shopped online [Pst Yr] - Furniture/Appliance Stores - Electronics stores (any),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2092,Q0800127C1,Shopped online [Pst Yr] - Furniture/Appliance Stores - Online/Internet mattress stores (e.g. Endy),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2093,Q1000120C1,Shopped online [Pst Yr] - Home Decor/Improvement Stores - Canadian Tire,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2094,Q1000121C1,Shopped online [Pst Yr] - Home Decor/Improvement Stores - Crate & Barrel (^),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2095,Q1000122C1,Shopped online [Pst Yr] - Home Decor/Improvement Stores - Home Depot,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2096,Q1000123C1,Shopped online [Pst Yr] - Home Decor/Improvement Stores - Home Hardware,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2097,Q1000124C1,Shopped online [Pst Yr] - Home Decor/Improvement Stores - Lee Valley Tools,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2098,Q1000125C1,Shopped online [Pst Yr] - Home Decor/Improvement Stores - Lowe's Home Improvement,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2099,Q1000126C1,Shopped online [Pst Yr] - Home Decor/Improvement Stores - Rona Stores (any),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2100,Q1000127C1,Shopped online [Pst Yr] - Home Decor/Improvement Stores - Wayfair.ca,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2101,Q1000128C1,Shopped online [Pst Yr] - Home Decor/Improvement Stores - Lighting stores (any) (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2102,Q1000129C1,Shopped online [Pst Yr] - Home Decor/Improvement Stores - Department stores (any),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2103,Q1300120C1,Shopped online [Pst Yr] - Optical Stores - clearly.ca,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2104,Q1400120C1,Shopped online [Pst Yr] - Electronics Stores - Apple,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2105,Q1400121C1,Shopped online [Pst Yr] - Electronics Stores - Best Buy,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2106,Q1400122C1,Shopped online [Pst Yr] - Electronics Stores - Dell Computer (online store),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2107,Q1400123C1,Shopped online [Pst Yr] - Electronics Stores - Staples,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2108,Q1400124C1,Shopped online [Pst Yr] - Electronics Stores - The Source,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2109,Q1400125C1,Shopped online [Pst Yr] - Electronics Stores - Big box/warehouse stores (e.g. Costco),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2110,Q1400126C1,Shopped online [Pst Yr] - Electronics Stores - Department stores (any) (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2111,Q1500120C1,Shopped online [Pst Yr] - Office Supply Stores - Staples,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2112,Q1500121C1,Shopped online [Pst Yr] - Office Supply Stores - Big box/warehouse stores (e.g. Costco),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2113,Q1500122C1,Shopped online [Pst Yr] - Office Supply Stores - Department stores (any) (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2114,Q1500123C1,Shopped online [Pst Yr] - Office Supply Stores - Online/Internet office stores (e.g. Grand & Toy),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2115,Q1600120C1,Shopped online [Pst Yr] - Shoe Stores - Aldo (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2116,Q1600121C1,Shopped online [Pst Yr] - Shoe Stores - Browns/B2 (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2117,Q1600122C1,Shopped online [Pst Yr] - Shoe Stores - Globo (^),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2118,Q1600123C1,Shopped online [Pst Yr] - Shoe Stores - Naturalizer (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2119,Q1600124C1,Shopped online [Pst Yr] - Shoe Stores - SoftMoc,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2120,Q1600125C1,Shopped online [Pst Yr] - Shoe Stores - The Shoe Company,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2121,Q1600126C1,Shopped online [Pst Yr] - Shoe Stores - Department stores (any),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2122,Q1600127C1,Shopped online [Pst Yr] - Shoe Stores - Sports stores (any),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2123,Q1700120C1,Shopped online [Pst Yr] - Sporting Goods/Athleatic Wear Stores - Atmosphere (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2124,Q1700121C1,Shopped online [Pst Yr] - Sporting Goods/Athleatic Wear Stores - Foot Locker (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2125,Q1700122C1,Shopped online [Pst Yr] - Sporting Goods/Athleatic Wear Stores - Golf Town (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2126,Q1700123C1,Shopped online [Pst Yr] - Sporting Goods/Athleatic Wear Stores - Lululemon Athletica,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2127,Q1700124C1,Shopped online [Pst Yr] - Sporting Goods/Athleatic Wear Stores - MEC,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2128,Q1700125C1,Shopped online [Pst Yr] - Sporting Goods/Athleatic Wear Stores - Sport Chek,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2129,Q1700126C1,Shopped online [Pst Yr] - Sporting Goods/Athleatic Wear Stores - Sports Experts,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2130,Q1700127C1,Shopped online [Pst Yr] - Sporting Goods/Athleatic Wear Stores - Big box/warehouse stores (e.g. Costco),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2131,Q1700128C1,Shopped online [Pst Yr] - Sporting Goods/Athleatic Wear Stores - Department stores (any) (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2132,Q1800120C1,Shopped online [Pst Yr] - Toy/Game/Learning Stores - EB Games,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2133,Q1800121C1,Shopped online [Pst Yr] - Toy/Game/Learning Stores - Mastermind (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2134,Q1800122C1,Shopped online [Pst Yr] - Toy/Game/Learning Stores - Toys 'R Us/Babies 'R Us,Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
2135,Q1800123C1,Shopped online [Pst Yr] - Toy/Game/Learning Stores - Big box/warehouse stores (e.g. Costco) (!),Retail - Online Shopping,Incidence,,[NBAS12HP],Double,8,8
